common_name,scientific_name,historic_range,where_listed,status
"Butterfly, Lange's metalmark",Apodemia mormo langei,U.S.A. (CA),Entire,E
"Butterfly, Uncompahgre fritillary",Boloria acrocnema,U.S.A. (CO),Entire,E
"Butterfly, San Bruno elfin",Callophrys mossii bayensis,U.S.A. (CA),Entire,E
"Butterfly, Miami Blue",Cyclargus (=Hemiargus) thomasi bethunebakeri,U.S.A. (FL),Entire,E
"Butterfly, nickerbean blue",Cyclargus ammon,,Entire,SAT
"Butterfly, El Segundo blue",Euphilotes battoides allyni,U.S.A. (CA),Entire,E
"Butterfly, Smith's blue",Euphilotes enoptes smithi,U.S.A. (CA),Entire,E
"Butterfly, Bay checkerspot",Euphydryas editha bayensis,U.S.A. (CA),Entire,T
"Butterfly, Quino checkerspot",Euphydryas editha quino (=E. e. wrighti),,Entire,E
"Butterfly, Palos Verdes blue",Glaucopsyche lygdamus palosverdesensis,U.S.A. (CA),Entire,E
"Butterfly, ceraunus blue",Hemiargus ceraunus antibubastus,,Entire,SAT
"Butterfly, Schaus swallowtail",Heraclides aristodemus ponceanus,U.S.A. (FL),Entire,E
"Butterfly, Fender's blue",Icaricia icarioides fenderi,U.S.A. (OR),Entire,E
"Butterfly, mission blue",Icaricia icarioides missionensis,U.S.A. (CA),Entire,E
"Butterfly, cassius blue",Leptotes cassius theonus,,Entire,SAT
"Butterfly, lotis blue",Lycaeides argyrognomon lotis,U.S.A. (CA),Entire,E
"Butterfly, Karner blue",Lycaeides melissa samuelis,"U.S.A. (IL, IN, MA, MI, MN, NH, NY, OH, PA, WI), Canada (Ont.)",Entire,E
"Butterfly, Saint Francis' satyr",Neonympha mitchellii francisci,U.S.A. (NC),Entire,E
"Butterfly, Mitchell's satyr",Neonympha mitchellii mitchellii,"U.S.A. (IN, MI, NJ, OH)",Entire,E
"Butterfly, Luzon peacock swallowtail",Papilio chikae,Philippines,Entire,E
"Butterfly, Homerus swallowtail",Papilio homerus,Jamaica,Entire,E
"Butterfly, Corsican swallowtail",Papilio hospiton,"Corsica, Sardinia",Entire,E
"Butterfly, Mount Charleston blue",Plebejus shasta charlestonensis,U.S.A. (NV),Entire,E
"Skipper, Carson wandering",Pseudocopaeodes eunus obscurus,"U.S.A. (CA, NV)","U.S.A., (Lassen County, CA; Washoe County, NV)",E
"Skipper, Laguna Mountains",Pyrgus ruralis lagunae,U.S.A. (CA),Entire,E
"Butterfly, callippe silverspot",Speyeria callippe callippe,U.S.A. (CA),Entire,E
"Butterfly, Behren's silverspot",Speyeria zerene behrensii,U.S.A. (CA),Entire,E
"Butterfly, Oregon silverspot",Speyeria zerene hippolyta,"U.S.A. (CA, OR, WA)",Entire,T
"Butterfly, Myrtle's silverspot",Speyeria zerene myrtleae,U.S.A. (CA),Entire,E
"Butterfly, Queen Alexandra's birdwing",Troides alexandrae,Papua New Guinea,Entire,E
