id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
10009,2007-09-23,33.4513155,-111.9501414,Maricopa,Arizona,United States,Danaus gilippus,Queen,Nymphalidae,Danaus,Danaus gilippus
10010,2007-09-23,33.4513155,-111.9501414,Maricopa,Arizona,United States,Battus philenor,Pipevine Swallowtail,Papilionidae,Battus,Battus philenor
10011,2007-09-23,33.4513155,-111.9501414,Maricopa,Arizona,United States,Abaeis nicippe,Sleepy Orange,Pieridae,Abaeis,Abaeis nicippe
10012,2007-09-23,33.4513155,-111.9501414,Maricopa,Arizona,United States,Hylephila phyleus,Fiery Skipper,Hesperiidae,Hylephila,Hylephila phyleus
10017,2009-08-15,33.4306088,-111.0270616,Pinal,Arizona,United States,Adelpha eulalia,Arizona Sister,Nymphalidae,Adelpha,Adelpha eulalia
19064,2010-06-01,31.8214758,-110.3222981,Cochise,Arizona,United States,Limenitis arthemis arizonensis,Arizona Red-spotted Purple,Nymphalidae,Limenitis,Limenitis arthemis
19066,2010-06-01,31.59222,-109.24,Cochise,Arizona,United States,Battus philenor,Pipevine Swallowtail,Papilionidae,Battus,Battus philenor
19072,2010-06-01,31.539864,-110.736651,Santa Cruz,Arizona,United States,Phoebis sennae,Cloudless Sulphur,Pieridae,Phoebis,Phoebis sennae
37225,2011-08-05,36.2090724073,-112.0614480972,Coconino,Arizona,United States,Lycaena arota,Tailed Copper,Lycaenidae,Lycaena,Lycaena arota
50196,2008-07-26,31.7748776185,-109.3359375,Cochise,Arizona,United States,Papilio multicaudata,Two-tailed Swallowtail,Papilionidae,Papilio,Papilio multicaudata
85832,2007-11-12,32.248549,-110.947344,Pima,Arizona,United States,Zerene cesonia,Southern Dogface,Pieridae,Zerene,Zerene cesonia
85838,2008-08-23,32.415308,-110.706529,Pima,Arizona,United States,Apyrrothrix araxes,Dull Firetip,Hesperiidae,Apyrrothrix,Apyrrothrix araxes
85839,2007-07-29,32.417754,-110.709893,Pima,Arizona,United States,Phyciodes mylitta,Mylitta Crescent,Nymphalidae,Phyciodes,Phyciodes mylitta
85840,2008-08-23,32.415308,-110.706529,Pima,Arizona,United States,Battus philenor,Pipevine Swallowtail,Papilionidae,Battus,Battus philenor
85843,2007-11-12,32.248549,-110.947344,Pima,Arizona,United States,Calephelis nemesis,Fatal Metalmark,Riodinidae,Calephelis,Calephelis nemesis
85845,2008-05-03,32.344944,-110.666742,Pima,Arizona,United States,Celastrina echo,Echo Azure,Lycaenidae,Celastrina,Celastrina echo
85848,2007-11-12,32.248549,-110.947344,Pima,Arizona,United States,Brephidium exilis,Western Pygmy-Blue,Lycaenidae,Brephidium,Brephidium exilis
85849,2007-07-29,32.414076,-110.704297,Pima,Arizona,United States,Celastrina echo,Echo Azure,Lycaenidae,Celastrina,Celastrina echo
85855,2008-06-03,32.23332,-110.95075,Pima,Arizona,United States,Pontia protodice,Checkered White,Pieridae,Pontia,Pontia protodice
85898,2008-05-23,32.248549,-110.947344,Pima,Arizona,United States,Leptotes marina,Marine Blue,Lycaenidae,Leptotes,Leptotes marina
85904,2008-10-11,32.34052,-110.674552,Pima,Arizona,United States,Cyllopsis pyracmon henshawi,,Nymphalidae,Cyllopsis,Cyllopsis pyracmon
85910,2008-08-23,32.437794,-110.761394,Pima,Arizona,United States,Celastrina echo,Echo Azure,Lycaenidae,Celastrina,Celastrina echo
85911,2008-10-18,32.23372,-110.950568,Pima,Arizona,United States,Hylephila phyleus,Fiery Skipper,Hesperiidae,Hylephila,Hylephila phyleus
86005,2007-11-10,32.339224,-110.686933,Pima,Arizona,United States,Adelpha eulalia,Arizona Sister,Nymphalidae,Adelpha,Adelpha eulalia
86020,2008-08-16,32.215331,-110.919266,Pima,Arizona,United States,Hylephila phyleus,Fiery Skipper,Hesperiidae,Hylephila,Hylephila phyleus
86024,2008-08-16,32.216302,-110.920865,Pima,Arizona,United States,Copaeodes aurantiaca,Orange Skipperling,Hesperiidae,Copaeodes,Copaeodes aurantiaca
95438,2008-08-09,32.341742,-110.683618,Pima,Arizona,United States,Staphylus ceos,Golden-headed Scallopwing,Hesperiidae,Staphylus,Staphylus ceos
95474,2008-08-09,32.340754,-110.685249,Pima,Arizona,United States,Danaus gilippus,Queen,Nymphalidae,Danaus,Danaus gilippus
110149,2007-08-03,31.723409,-110.880416,Santa Cruz,Arizona,United States,Staphylus ceos,Golden-headed Scallopwing,Hesperiidae,Staphylus,Staphylus ceos
110157,2007-07-31,33.392466,-109.313964,Greenlee,Arizona,United States,Amblyscirtes aenus,Bronze Roadside-Skipper,Hesperiidae,Amblyscirtes,Amblyscirtes aenus
110167,2007-07-29,35.5313224,-109.3783206,Apache,Arizona,United States,Callophrys spinetorum,Thicket Hairstreak,Lycaenidae,Callophrys,Callophrys spinetorum
119319,2012-09-02,31.4165047428,-110.2781438828,Cochise,Arizona,United States,Adelpha eulalia,Arizona Sister,Nymphalidae,Adelpha,Adelpha eulalia
124548,2012-09-17,31.883473563,-109.2070777902,Cochise,Arizona,United States,Chlosyne lacinia,Bordered Patch,Nymphalidae,Chlosyne,Chlosyne lacinia
