id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
84090,2011-10-25,41.1977271514,-88.2688602577,Grundy,Illinois,United States,Junonia coenia,Common Buckeye,Nymphalidae,Nymphalinae,Junoniini,Junonia,Junonia coenia
85612,2011-05-21,40.0916929076,-88.2758030516,Champaign,Illinois,United States,Danaus plexippus,Monarch,Nymphalidae,Danainae,Danaini,Danaus,Danaus plexippus
215019,1996-08-01,-29.870531,30.878448,Pinetown,,South Africa,Precis octavia sesamus,Southern Gaudy Commodore,Nymphalidae,Nymphalinae,Junoniini,Precis,Precis octavia
215020,2006-03-26,-29.867442,30.989341,Durban,,South Africa,Hypolycaena philippus,Purple-brown Hairstreak,Lycaenidae,Theclinae,Hypolycaenini,Hypolycaena,Hypolycaena philippus
215022,2006-03-26,-29.867442,30.989341,Durban,,South Africa,Acraea petraea,Bloodred Acraea,Nymphalidae,Heliconiinae,Acraeini,Acraea,Acraea petraea
215023,2006-03-26,-29.867442,30.989341,Durban,,South Africa,Leptomyrina gorgias,Common Black-eye,Lycaenidae,Theclinae,Hypolycaenini,Leptomyrina,Leptomyrina gorgias
215024,2006-03-30,-29.867442,30.989341,Durban,,South Africa,Leptotes,Common Blues,Lycaenidae,Polyommatinae,Polyommatini,Leptotes,
215025,2006-03-26,-29.867442,30.989341,Durban,,South Africa,Larsenia gemella,Twin Swift,Hesperiidae,Hesperiinae,Baorini,Larsenia,Larsenia gemella
215032,2006-03-31,-30.67438663,30.3039836884,Port Shepstone,,South Africa,Cacyreus lingeus,Common Bush Blue,Lycaenidae,Polyommatinae,Polyommatini,Cacyreus,Cacyreus lingeus
215033,2006-03-31,-30.67438663,30.3039836884,Port Shepstone,,South Africa,Cacyreus lingeus,Common Bush Blue,Lycaenidae,Polyommatinae,Polyommatini,Cacyreus,Cacyreus lingeus
215034,2006-03-31,-30.67438663,30.3039836884,Port Shepstone,,South Africa,Cacyreus lingeus,Common Bush Blue,Lycaenidae,Polyommatinae,Polyommatini,Cacyreus,Cacyreus lingeus
215035,2006-03-31,-30.67438663,30.3039836884,Port Shepstone,,South Africa,Belenois gidica abyssinica,,Pieridae,Pierinae,Pierini,Belenois,Belenois gidica
215036,2006-03-31,-30.67438663,30.3039836884,Port Shepstone,,South Africa,Appias epaphia contracta,,Pieridae,Pierinae,Pierini,Appias,Appias epaphia
466562,2009-09-21,40.715499,-78.244425,Blair,Pennsylvania,United States,Boloria bellona,Meadow Fritillary,Nymphalidae,Heliconiinae,Argynnini,Boloria,Boloria bellona
488504,2010-11-01,18.046032,-96.71271,,Oaxaca,Mexico,Pyrrhopyge zenodorus,Red-headed Firetip,Hesperiidae,Pyrginae,Pyrrhopygini,Pyrrhopyge,Pyrrhopyge zenodorus
500315,1997-07-10,48.50868,22.51937,,,Ukraine,Erynnis tages,Dingy Skipper,Hesperiidae,Pyrginae,Erynnini,Erynnis,Erynnis tages
501088,1997-07-10,48.50868,22.51937,,,Ukraine,Erynnis tages,Dingy Skipper,Hesperiidae,Pyrginae,Erynnini,Erynnis,Erynnis tages
501098,1997-07-10,48.06875,23.46157,,,Ukraine,Erynnis tages,Dingy Skipper,Hesperiidae,Pyrginae,Erynnini,Erynnis,Erynnis tages
501764,1997-05-07,48.45762,22.31808,,,Ukraine,Carcharodus alceae,Mallow Skipper,Hesperiidae,Pyrginae,Carcharodini,Carcharodus,Carcharodus alceae
501772,2000-08-11,48.09132,23.4719,,,Ukraine,Carcharodus alceae,Mallow Skipper,Hesperiidae,Pyrginae,Carcharodini,Carcharodus,Carcharodus alceae
502507,2002-06-06,48.65232,22.6159,,,Ukraine,Carcharodus floccifera,Tufted Skipper,Hesperiidae,Pyrginae,Carcharodini,Carcharodus,Carcharodus floccifera
504387,2011-08-03,48.82411,22.69247,,,Ukraine,Pyrgus alveus,Large Grizzled Skipper,Hesperiidae,Pyrginae,Pyrgini,Pyrgus,Pyrgus alveus
507945,1997-06-16,48.77143,22.54193,,,Ukraine,Pyrgus armoricanus,Oberthür's grizzled skipper,Hesperiidae,Pyrginae,Pyrgini,Pyrgus,Pyrgus armoricanus
518863,1999-05-18,48.9701,22.66478,,,Ukraine,Pyrgus malvae,Grizzled Skipper,Hesperiidae,Pyrginae,Pyrgini,Pyrgus,Pyrgus malvae
