id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
251791,2012-07-17,46.0758,-112.923682,Deer Lodge,Montana,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus
277849,2013-05-15,46.063515,-112.452734,Jefferson,Montana,United States,Papilio zelicaon,Anise Swallowtail,Papilionidae,Papilio,Papilio zelicaon
277851,2013-05-15,45.349363,-111.504875,Madison,Montana,United States,Papilio zelicaon,Anise Swallowtail,Papilionidae,Papilio,Papilio zelicaon
302905,2012-07-23,46.950833,-112.705334,Lewis and Clark,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola
302916,2012-07-23,46.950833,-112.705667,Lewis and Clark,Montana,United States,Boloria selene,Silver-bordered Fritillary,Nymphalidae,Boloria,Boloria selene
302929,2012-07-23,46.949666,-112.7065,Lewis and Clark,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola
302941,2012-07-23,46.947833,-112.7105,Lewis and Clark,Montana,United States,Limenitis lorquini,Lorquin's Admiral,Nymphalidae,Limenitis,Limenitis lorquini
303000,2012-07-24,46.962166,-112.977,Powell,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola
303002,2012-07-24,46.962166,-112.977,Powell,Montana,United States,Colias eurytheme,Orange Sulphur,Pieridae,Colias,Colias eurytheme
331583,2012-07-28,47.060833,-112.7485,Lewis and Clark,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
380720,2009-08-27,48.690243,-113.752871,Flathead,Montana,United States,Icaricia lupini,Lupine Blue,Lycaenidae,Icaricia,Icaricia lupini
705169,2014-05-26,45.572923,-111.912207,Madison,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
706959,2014-05-26,45.572927,-111.912213,Madison,Montana,United States,Polygonia satyrus,Satyr Comma,Nymphalidae,Polygonia,Polygonia satyrus
735676,2014-06-07,47.141249,-112.446007,Lewis and Clark,Montana,United States,Erebia epipsodea,Common Alpine,Nymphalidae,Erebia,Erebia epipsodea
735691,2014-06-11,46.4564166667,-111.8955527778,Jefferson,Montana,United States,Icaricia icarioides,Boisduval's Blue,Lycaenidae,Icaricia,Icaricia icarioides
807229,2014-07-19,45.987536,-113.183744,Deer Lodge,Montana,United States,Papilio multicaudata,Two-tailed Swallowtail,Papilionidae,Papilio,Papilio multicaudata
807231,2014-07-19,45.987547,-113.184065,Deer Lodge,Montana,United States,Speyeria cybele,Great Spangled Fritillary,Nymphalidae,Speyeria,Speyeria cybele
811175,2014-06-23,48.395698,-107.648329,Phillips,Montana,United States,Pontia occidentalis,Western White,Pieridae,Pontia,Pontia occidentalis
811177,2014-06-23,48.395698,-107.648329,Phillips,Montana,United States,Pontia protodice,Checkered White,Pieridae,Pontia,Pontia protodice
811178,2014-06-23,48.395698,-107.648329,Phillips,Montana,United States,Plebejus melissa,Melissa Blue,Lycaenidae,Plebejus,Plebejus melissa
811201,2014-06-24,47.92583,-108.504035,Phillips,Montana,United States,Phyciodes tharos,Pearl Crescent,Nymphalidae,Phyciodes,Phyciodes tharos
815393,2014-06-25,48.72709,-113.438001,Glacier,Montana,United States,Carterocephalus palaemon,Arctic Skipper,Hesperiidae,Carterocephalus,Carterocephalus palaemon
815398,2014-06-25,48.728805,-113.438087,Glacier,Montana,United States,Pyrgus communis,Common Checkered-Skipper,Hesperiidae,Pyrgus,Pyrgus communis
818217,2014-06-23,48.395698,-107.648329,Phillips,Montana,United States,Plebejus melissa,Melissa Blue,Lycaenidae,Plebejus,Plebejus melissa
818276,2014-06-24,47.92583,-108.504035,Phillips,Montana,United States,Callophrys eryphon,Western Pine Elfin,Lycaenidae,Callophrys,Callophrys eryphon
818279,2014-06-24,47.92583,-108.504035,Phillips,Montana,United States,Limenitis arthemis,Red-spotted Admiral,Nymphalidae,Limenitis,Limenitis arthemis
820365,2014-06-25,48.728449,-113.437888,Glacier,Montana,United States,Icaricia icarioides,Boisduval's Blue,Lycaenidae,Icaricia,Icaricia icarioides
820366,2014-06-25,48.728449,-113.437888,Glacier,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
820367,2014-06-25,48.728449,-113.437888,Glacier,Montana,United States,Chlosyne palla,Northern Checkerspot,Nymphalidae,Chlosyne,Chlosyne palla
820368,2014-06-25,48.728449,-113.437888,Glacier,Montana,United States,Cupido amyntula,Western Tailed-Blue,Lycaenidae,Cupido,Cupido amyntula
820370,2014-06-25,48.728449,-113.437888,Glacier,Montana,United States,Erebia epipsodea,Common Alpine,Nymphalidae,Erebia,Erebia epipsodea
820392,2014-06-25,48.728449,-113.437888,Glacier,Montana,United States,Coenonympha tullia,Common Ringlet,Nymphalidae,Coenonympha,Coenonympha tullia
821906,2014-06-27,48.729129,-113.437888,Glacier,Montana,United States,Carterocephalus palaemon,Arctic Skipper,Hesperiidae,Carterocephalus,Carterocephalus palaemon
821916,2014-06-27,48.729129,-113.437888,Glacier,Montana,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus
824221,2014-06-30,47.845786,-112.58038,Teton,Montana,United States,Agriades glandon,Arctic Blue,Lycaenidae,Agriades,Agriades glandon
850898,2014-08-26,47.322222,-114.211667,Sanders,Montana,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides
850900,2014-08-26,47.328362,-113.7903,Missoula,Montana,United States,Lycaena helloides,Purplish Copper,Lycaenidae,Lycaena,Lycaena helloides
1262944,2013-08-11,45.894103,-112.786339,Silver Bow,Montana,United States,Cercyonis oetus,Small Wood-Nymph,Nymphalidae,Cercyonis,Cercyonis oetus
1577724,2015-05-25,48.2811916667,-109.6606533333,Hill,Montana,United States,Erebia epipsodea,Common Alpine,Nymphalidae,Erebia,Erebia epipsodea
1714059,2014-07-09,46.966883,-114.007572,Missoula,Montana,United States,Chlosyne palla,Northern Checkerspot,Nymphalidae,Chlosyne,Chlosyne palla
1743247,2012-07-17,47.486092,-111.533654,Cascade,Montana,United States,Papilio multicaudata,Two-tailed Swallowtail,Papilionidae,Papilio,Papilio multicaudata
2375778,2015-06-10,45.255835,-109.694648,Stillwater,Montana,United States,Lycaena cupreus,Lustrous Copper,Lycaenidae,Lycaena,Lycaena cupreus
2375842,2015-06-10,45.255835,-109.694648,Stillwater,Montana,United States,Erebia epipsodea,Common Alpine,Nymphalidae,Erebia,Erebia epipsodea
2375859,2015-06-10,45.259845,-109.680676,Carbon,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii
2376070,2015-06-10,45.311416,-109.616389,Stillwater,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
2611604,2015-08-11,45.4256562786,-112.6356094703,Beaverhead,Montana,United States,Danaus plexippus,Monarch,Nymphalidae,Danaus,Danaus plexippus
2611664,2015-07-24,45.4254877977,-112.6356956363,Beaverhead,Montana,United States,Danaus plexippus,Monarch,Nymphalidae,Danaus,Danaus plexippus
2778917,2015-06-11,45.856692,-108.88303,Yellowstone,Montana,United States,Speyeria edwardsii,Edwards' Fritillary,Nymphalidae,Speyeria,Speyeria edwardsii
3189782,2015-08-25,46.9066,-113.9583583333,Missoula,Montana,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides
3280797,2014-09-14,47.318694,-114.031305,Lake,Montana,United States,Colias philodice,Clouded Sulphur,Pieridae,Colias,Colias philodice
3342168,2016-05-29,46.4026411716,-113.6874777173,Granite,Montana,United States,Papilio eurymedon,Pale Swallowtail,Papilionidae,Papilio,Papilio eurymedon
3521465,2016-06-20,48.63934061,-113.8644463,Flathead,Montana,United States,Phyciodes cocyta,Northern Crescent,Nymphalidae,Phyciodes,Phyciodes cocyta
3650075,2016-07-09,47.6242799853,-114.1532606373,Lake,Montana,United States,Danaus plexippus,Monarch,Nymphalidae,Danaus,Danaus plexippus
3750650,2016-07-04,46.825254,-113.339414,Granite,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
3750662,2016-07-04,46.825085,-113.339178,Granite,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii
3752255,2016-07-05,46.838597,-114.012249,Missoula,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola
3755838,1998-08-17,48.7596128,-113.7870225,Flathead,Montana,United States,Nymphalis l-album,Compton Tortoiseshell,Nymphalidae,Nymphalis,Nymphalis l-album
3757131,2016-07-09,48.7929392369,-113.6581993103,Glacier,Montana,United States,Limenitis arthemis arthemis,American White Admiral,Nymphalidae,Limenitis,Limenitis arthemis
3757779,2016-07-08,47.69946,-113.269624,Flathead,Montana,United States,Erebia epipsodea,Common Alpine,Nymphalidae,Erebia,Erebia epipsodea
3759723,2015-06-27,48.7966767816,-113.658228814,Glacier,Montana,United States,Phyciodes pulchella,Field Crescent,Nymphalidae,Phyciodes,Phyciodes pulchella
3759725,2015-06-27,48.7982139261,-113.6840128899,Glacier,Montana,United States,Papilio multicaudata,Two-tailed Swallowtail,Papilionidae,Papilio,Papilio multicaudata
3759729,2015-06-28,48.6093697842,-113.8824641705,Flathead,Montana,United States,Papilio eurymedon,Pale Swallowtail,Papilionidae,Papilio,Papilio eurymedon
3759738,2015-06-29,48.6767370814,-113.5938262939,Glacier,Montana,United States,Limenitis lorquini,Lorquin's Admiral,Nymphalidae,Limenitis,Limenitis lorquini
3771339,2016-07-13,47.669273,-113.243624,Flathead,Montana,United States,Carterocephalus palaemon,Arctic Skipper,Hesperiidae,Carterocephalus,Carterocephalus palaemon
3775512,2016-07-15,47.688479,-113.265032,Flathead,Montana,United States,Parnassius smintheus,Rocky Mountain Parnassian,Papilionidae,Parnassius,Parnassius smintheus
3775523,2016-07-15,47.707284,-113.326824,Flathead,Montana,United States,Speyeria hesperis,Northwestern Fritillary,Nymphalidae,Speyeria,Speyeria hesperis
3778106,2016-07-16,47.44251,-114.104967,Lake,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola
3778148,2016-07-16,47.442766,-114.104898,Lake,Montana,United States,Phyciodes mylitta,Mylitta Crescent,Nymphalidae,Phyciodes,Phyciodes mylitta
3873956,2012-07-15,47.6840824054,-113.783107101,Lake,Montana,United States,Limenitis lorquini,Lorquin's Admiral,Nymphalidae,Limenitis,Limenitis lorquini
3886437,2016-08-14,45.276375,-111.326095,Gallatin,Montana,United States,Vanessa atalanta,Red Admiral,Nymphalidae,Vanessa,Vanessa atalanta
3919086,2016-08-12,47.9633331299,-110.0899963379,Chouteau,Montana,United States,Strymon melinus,Gray Hairstreak,Lycaenidae,Strymon,Strymon melinus
3971297,2016-08-26,48.5290716667,-113.994195,Flathead,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
4041073,2016-08-08,47.791247,-107.793732,Phillips,Montana,United States,Euptoieta claudia,Variegated Fritillary,Nymphalidae,Euptoieta,Euptoieta claudia
4041874,2016-08-06,47.698672,-109.811096,Fergus,Montana,United States,Strymon melinus,Gray Hairstreak,Lycaenidae,Strymon,Strymon melinus
4091584,2016-07-18,48.744262,-113.7377214,Flathead,Montana,United States,Parnassius clodius,Clodius Parnassian,Papilionidae,Parnassius,Parnassius clodius
4091585,2016-07-18,48.744262,-113.7377214,Flathead,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
