id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
31306,2011-08-27,40.9778245332,-112.2006225586,Davis,Utah,United States,Danaus plexippus,Monarch,Nymphalidae,Danaus,Danaus plexippus
33546,2011-10-02,40.7961377883,-111.8761825562,Salt Lake,Utah,United States,Vanessa annabella,West Coast Lady,Nymphalidae,Vanessa,Vanessa annabella
51041,2011-05-25,40.7672491462,-111.8236970901,Salt Lake,Utah,United States,Danaus plexippus,Monarch,Nymphalidae,Danaus,Danaus plexippus
51131,2011-10-23,40.767312663,-111.8244857011,Salt Lake,Utah,United States,Colias eurytheme,Orange Sulphur,Pieridae,Colias,Colias eurytheme
61245,2012-03-30,40.7673320339,-111.8237444839,Salt Lake,Utah,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
81632,2012-05-20,40.5794387441,-111.4294976586,Wasatch,Utah,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
85308,2012-05-30,40.7662025559,-111.8237015686,Salt Lake,Utah,United States,Papilio multicaudata,Two-tailed Swallowtail,Papilionidae,Papilio,Papilio multicaudata
88687,2012-06-04,40.7673313084,-111.8256067419,Salt Lake,Utah,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
95168,2012-06-21,40.710994729,-111.6682813206,Salt Lake,Utah,United States,Parnassius smintheus,Rocky Mountain Parnassian,Papilionidae,Parnassius,Parnassius smintheus
95170,2012-06-21,40.7101977337,-111.6695687809,Salt Lake,Utah,United States,Speyeria callippe,Callippe Fritillary,Nymphalidae,Speyeria,Speyeria callippe
100571,2012-07-01,40.7010296419,-110.8894984733,Duchesne,Utah,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia
100722,2012-07-01,40.6966174357,-110.8987060056,Duchesne,Utah,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
102842,2012-07-12,40.7661679657,-111.8243514681,Salt Lake,Utah,United States,Limenitis weidemeyerii,Weidemeyer's Admiral,Nymphalidae,Limenitis,Limenitis weidemeyerii
104480,2012-07-22,40.766641684,-111.8241710987,Salt Lake,Utah,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae
104488,2012-07-22,40.7662066514,-111.8237070766,Salt Lake,Utah,United States,Papilio multicaudata,Two-tailed Swallowtail,Papilionidae,Papilio,Papilio multicaudata
126155,2009-07-08,37.63126,-112.832207,Iron,Utah,United States,Euphydryas anicia,Anicia Checkerspot,Nymphalidae,Euphydryas,Euphydryas anicia
241014,2007-08-09,41.2458571856,-111.8352413177,Weber,Utah,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia
248523,2013-04-26,40.767306,-111.825757,Salt Lake,Utah,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
296566,2013-06-10,40.71903,-111.655383,Salt Lake,Utah,United States,Cupido amyntula,Western Tailed-Blue,Lycaenidae,Cupido,Cupido amyntula
310049,2013-06-23,40.766225,-111.825471,Salt Lake,Utah,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae
311500,2013-06-23,40.76655,-111.825596,Salt Lake,Utah,United States,Polygonia gracilis,Hoary Comma,Nymphalidae,Polygonia,Polygonia gracilis
311503,2013-06-23,40.76655,-111.825596,Salt Lake,Utah,United States,Papilio multicaudata,Two-tailed Swallowtail,Papilionidae,Papilio,Papilio multicaudata
316312,2013-06-27,40.710378,-111.667399,Salt Lake,Utah,United States,Chlosyne acastus,Sagebrush Checkerspot,Nymphalidae,Chlosyne,Chlosyne acastus
320474,2013-06-27,40.710898,-111.668279,Salt Lake,Utah,United States,Thorybes pylades,Northern Cloudywing,Hesperiidae,Thorybes,Thorybes pylades
334608,2013-07-12,40.715224,-111.662443,Salt Lake,Utah,United States,Icaricia icarioides,Boisduval's Blue,Lycaenidae,Icaricia,Icaricia icarioides
334723,2013-07-12,40.715224,-111.662443,Salt Lake,Utah,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
334726,2013-07-12,40.715224,-111.662443,Salt Lake,Utah,United States,Thorybes pylades,Northern Cloudywing,Hesperiidae,Thorybes,Thorybes pylades
334728,2013-07-12,40.715224,-111.662443,Salt Lake,Utah,United States,Parnassius clodius,Clodius Parnassian,Papilionidae,Parnassius,Parnassius clodius
334729,2013-07-12,40.715224,-111.662443,Salt Lake,Utah,United States,Chlosyne acastus,Sagebrush Checkerspot,Nymphalidae,Chlosyne,Chlosyne acastus
334742,2013-07-12,40.715224,-111.662443,Salt Lake,Utah,United States,Limenitis weidemeyerii,Weidemeyer's Admiral,Nymphalidae,Limenitis,Limenitis weidemeyerii
347334,2013-07-26,40.606661,-111.691371,Salt Lake,Utah,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia
358940,2013-08-06,40.720685,-111.6577933333,Salt Lake,Utah,United States,Speyeria cybele,Great Spangled Fritillary,Nymphalidae,Speyeria,Speyeria cybele
365460,2013-08-12,40.6692366667,-111.6845033333,Salt Lake,Utah,United States,Lycaena heteronea,Blue Copper,Lycaenidae,Lycaena,Lycaena heteronea
372943,2013-08-21,40.64925,-111.7124933333,Salt Lake,Utah,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides
374015,2013-08-21,40.64561,-111.714048,Salt Lake,Utah,United States,Apodemia mormo,Mormon Metalmark,Riodinidae,Apodemia,Apodemia mormo
690375,2014-05-20,40.766322,-111.823675,Salt Lake,Utah,United States,Phyciodes pulchella,Field Crescent,Nymphalidae,Phyciodes,Phyciodes pulchella
691673,2014-05-17,40.565103,-111.744983,Salt Lake,Utah,United States,Cupido amyntula,Western Tailed-Blue,Lycaenidae,Cupido,Cupido amyntula
692282,2014-05-20,40.76633,-111.824297,Salt Lake,Utah,United States,Papilio multicaudata,Two-tailed Swallowtail,Papilionidae,Papilio,Papilio multicaudata
692299,2014-05-20,40.766135,-111.824212,Salt Lake,Utah,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
711813,2014-06-01,40.765518,-111.823825,Salt Lake,Utah,United States,Phyciodes cocyta,Northern Crescent,Nymphalidae,Phyciodes,Phyciodes cocyta
729970,2014-06-09,40.640172,-111.711623,Salt Lake,Utah,United States,Parnassius clodius,Clodius Parnassian,Papilionidae,Parnassius,Parnassius clodius
760423,2014-06-29,40.766453,-111.823944,Salt Lake,Utah,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae
774170,2014-06-27,37.082486,-111.664333,Kane,Utah,United States,Brephidium exilis,Western Pygmy-Blue,Lycaenidae,Brephidium,Brephidium exilis
778418,2014-07-10,40.4389116667,-111.6334083333,Utah,Utah,United States,Limenitis weidemeyerii,Weidemeyer's Admiral,Nymphalidae,Limenitis,Limenitis weidemeyerii
778419,2014-07-10,40.4389116667,-111.6334083333,Utah,Utah,United States,Phyciodes cocyta,Northern Crescent,Nymphalidae,Phyciodes,Phyciodes cocyta
823864,2014-08-06,40.582019,-111.590281,Salt Lake,Utah,United States,Limenitis weidemeyerii,Weidemeyer's Admiral,Nymphalidae,Limenitis,Limenitis weidemeyerii
823875,2014-08-06,40.586243,-111.589009,Salt Lake,Utah,United States,Lycaena rubidus,Ruddy Copper,Lycaenidae,Lycaena,Lycaena rubidus
827766,2014-08-11,40.481334,-111.031277,Wasatch,Utah,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
827772,2014-08-11,40.481334,-111.031277,Wasatch,Utah,United States,Euptoieta claudia,Variegated Fritillary,Nymphalidae,Euptoieta,Euptoieta claudia
857334,2014-05-12,40.220432,-111.61594,Utah,Utah,United States,Strymon melinus,Gray Hairstreak,Lycaenidae,Strymon,Strymon melinus
857608,2014-05-16,40.313486,-111.60787,Utah,Utah,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
857609,2014-05-17,40.434142,-111.671821,Utah,Utah,United States,Celastrina echo,Echo Azure,Lycaenidae,Celastrina,Celastrina echo
