id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
10575,2010-08-10,46.7887772879,-121.7477416992,Pierce,Washington,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
70086,2012-04-23,47.6812231,-122.2477698,King,Washington,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
73211,2012-04-15,46.2930392246,-122.2663020389,Cowlitz,Washington,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
77134,2012-05-08,47.6900672125,-122.3911499977,King,Washington,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae
77755,2012-05-12,47.5893327501,-120.6761366689,Chelan,Washington,United States,Anthocharis sara,Sara Orangetip,Pieridae,Anthocharis,Anthocharis sara
77962,2012-05-12,47.82328,-121.518083,Snohomish,Washington,United States,Pieris marginalis,Margined White,Pieridae,Pieris,Pieris marginalis
78001,2012-05-12,47.589323,-120.676127,Chelan,Washington,United States,Anthocharis sara,Sara Orangetip,Pieridae,Anthocharis,Anthocharis sara
79087,2012-05-14,47.6701774597,-122.3056869507,King,Washington,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
80253,2012-05-06,47.679166,-117.368334,Spokane,Washington,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
80554,2012-05-19,47.655898,-122.324242,King,Washington,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae
81078,2012-04-22,47.6520948,-122.4013448,King,Washington,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae
82389,2012-05-12,47.823286,-121.518384,Snohomish,Washington,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae
83921,2012-05-12,47.5891367181,-120.6759389788,Chelan,Washington,United States,Callophrys augustinus,Brown Elfin,Lycaenidae,Callophrys,Callophrys augustinus
84223,2012-05-12,46.8101073105,-124.1012953847,Grays Harbor,Washington,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae
85084,2012-05-30,47.652178,-122.309737,King,Washington,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae
89056,2012-05-12,46.9017652,-123.0179182,Thurston,Washington,United States,Glaucopsyche lygdamus,Silvery Blue,Lycaenidae,Glaucopsyche,Glaucopsyche lygdamus
90068,2012-06-10,48.06448,-121.515968,Snohomish,Washington,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
91412,2012-05-19,46.968591,-120.1758740377,Kittitas,Washington,United States,Icaricia icarioides,Boisduval's Blue,Lycaenidae,Icaricia,Icaricia icarioides
111808,2012-06-30,47.397346,-120.872333,Kittitas,Washington,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
111809,2012-06-30,47.398421,-120.871839,Kittitas,Washington,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
119168,2012-08-31,47.507229,-120.721809,Chelan,Washington,United States,Polygonia faunus,Green Comma,Nymphalidae,Polygonia,Polygonia faunus
121106,2010-07-16,48.00092,-123.553533,Clallam,Washington,United States,Euphydryas editha colonia,,Nymphalidae,Euphydryas,Euphydryas editha
125483,2012-07-06,47.7596055,-122.1772946,King,Washington,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus
162220,2012-07-07,46.4347292787,-121.7661523819,Lewis,Washington,United States,Pyrgus ruralis,Two-banded Checkered-Skipper,Hesperiidae,Pyrgus,Pyrgus ruralis
164554,2012-08-13,46.6698107638,-117.4389901683,Whitman,Washington,United States,Strymon melinus,Gray Hairstreak,Lycaenidae,Strymon,Strymon melinus
193728,2012-09-02,46.9171335124,-121.5881180763,Pierce,Washington,United States,Parnassius clodius,Clodius Parnassian,Papilionidae,Parnassius,Parnassius clodius
198112,2008-08-16,46.3622933,-119.4471222,Benton,Washington,United States,Atalopedes campestris,Sachem,Hesperiidae,Atalopedes,Atalopedes campestris
198337,2008-08-15,46.3622933,-119.4471222,Benton,Washington,United States,Limenitis archippus,Viceroy,Nymphalidae,Limenitis,Limenitis archippus
198389,2008-08-16,46.3622933,-119.4471222,Benton,Washington,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides
220955,2008-07-19,47.445823,-120.937478,Kittitas,Washington,United States,Boloria epithore,Pacific Fritillary,Nymphalidae,Boloria,Boloria epithore
223803,2012-05-25,48.7359051,-122.3314686,Whatcom,Washington,United States,Celastrina echo,Echo Azure,Lycaenidae,Celastrina,Celastrina echo
255645,2013-05-05,47.655804,-122.292533,King,Washington,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
265587,2013-05-06,47.637172,-122.303925,King,Washington,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
